Nome,SKU,Categoria principal (bruta),Subcategoria esperada,Motivo da ausência,"Tags (texto livre, não é categoria)"
Cola Ardell para Tufo,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Cola Clione Prime Love 3g | Extensão de Cílios | Alta Retenção,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,"adesivo para cílios, clione prime, clione prime love, cola 3g extensão cílios, cola 8 semanas cílios, cola alta retenção, cola anti sticker cílios, cola anvisa cílios, cola clione love, cola clione prime love, cola coreana cílios, cola coreia extensão cílios, cola fio a fio, cola lash designer, cola para extensão de cílios, cola preta cílios, cola profissional cílios, cola secagem rápida cílios, cola volume russo, material para lash designer"
Cola Macy Nano Tek 3ml Para Extensão De Cílios Volume Russo,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
COLA MACY P+ 3ML,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Cola Master Elite Diamond transparente- 3ml,(sem SKU),"Extensão de Cílios, Colas /  Adesivos",(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Cola master elite Esmeralda 3ml,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
COLA SKY GLUE - 5g - Tampa Vermelha,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Cola Sobelle Glamour 3Ml,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Cola Sobelle Hero 3ml,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Cola Sobelle Powerful 3ml,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Higrômetro Digital Pequeno,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
KIT INICIANTE 2 COMPLETO,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,"como começar extensão de cílios, ferramentas para lash designer, higrômetro cílios, kit cílios com curso online, kit cílios profissional, kit com curso de cílios, kit completo extensão cílios, kit completo lash designer, kit iniciante 2 extensão de cílios, kit iniciante cílios completo, kit lash com curso, kit para começar extensão de cílios, kit para lash designer, material lash designer completo, material para extensão de cílios, pinças para cílios"
KIT INICIANTE 3 + KIT RETENÇÃO COMPLETO,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,"como começar extensão de cílios, ferramentas para lash designer, kit 5 tipos de cílios, kit cherry lash, kit cílios profissional completo, kit com curso de cílios, kit com kit retenção, kit completo extensão cílios, kit completo lash designer, kit iniciante 3 extensão de cílios, kit iniciante completo cílios, kit lash com curso online, kit para começar extensão de cílios, kit para lash designer profissional, kit retenção cherry lash, material lash designer completo, material para extensão de cílios"
KIT INICIANTE 1,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,"acessórios extensão de cílios, cola para cílios, como começar extensão de cílios, ferramentas para lash designer, kit cílios completo, kit completo extensão cílios, kit iniciante cílios, kit iniciante extensão de cílios, kit lash designer iniciante, kit para começar extensão de cílios, kit para iniciante lash, kit para lash designer, kit profissional cílios, material lash designer, material para extensão de cílios, pinças para cílios"
Kit navalha 3 unidades,(sem SKU),"Extensão de Cílios, Sobrancelha ",(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Lash Box Organizador de Cílios,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Lente macro,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Microbrush 100 un,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Misturador mixer - Misturador de Henna,(sem SKU),"Extensão de Cílios, Sobrancelha ",(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Nano mister,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Pad 25 pares,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
PAD 50 unidades- pares,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Palito Para Alinhamento E Limpeza Henna Design Sobrancelhas,(sem SKU),"Extensão de Cílios, Sobrancelha ",(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Pinça chafrada Solingen,(sem SKU),"Extensão de Cílios, Sobrancelha ",(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Pinça chanfrada para sobrancelha,(sem SKU),"Extensão de Cílios, Sobrancelha ",(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,"chanfrada, ergonômica, precisão, profissional, sobrancelha"
Pinça curva dourada,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Pinça curva para extensão de cílios,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,"cílios, curva, ergonômica, extensão, pinça"
Pinça curva para extensão de cílios,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,"aço, curva, precisão, profissional, volume"
Pinça curva - Vetus,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Pinça curva - Vetus - Preta,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,"curva, pinça, precisão, profissional, vetus"
Pinça dourada,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Pinça formato golfinho dourada,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Pinça formato golfinho para cílios,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Pinça Nagaraku ST15 - Curva,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Pinça para sobrancelha reta,(sem SKU),"Extensão de Cílios, Sobrancelha ",(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,"dourada, pinça, precisão, reta, sobrancelha"
Pincel aplicador gloss 50un,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Pincel de limpeza cílios,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Pisseta para limpeza de cílios,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Rosto de treino para cílios,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Suporte organizador de pinças,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,"acrílico, durabilidade, organizador, pinça, profissional"
Suporte plástico colmeia para cola de cílios,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Tesoura pequena,(sem SKU),"Extensão de Cílios, Sobrancelha ",(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
Ventilador de mão,(sem SKU),Extensão de Cílios,(não identificável sem inferência),Campo Categorias exportado pela Nuvemshop sem nenhum nível além da raiz — confirmado no CSV bruto,
