"Categoria","Qtd","Exemplos"
"(SEM CATEGORIA)","316",""
"Lash Designer >> Fadvan","39","Cílios 5D  Fadvan curvatura D - 5Dw  | Cílios 5D  Fadvan curvatura D - 5Dw  - 10mm | Cílios 5D  Fadvan curvatura D - 5Dw  - 11mm | Cílios 5D  Fadvan curvatura D - 5Dw  - 12mm | Cílios 5D  Fadvan curvatura D - 5Dw  - 13mm"
"Lash Designer >> Nagaraku","20","Cilios nagaraku fio a fio 0.07D - 15mm | Cilios nagaraku fio a fio 0.07D - 8mm | Cilios nagaraku fio a fio 0.07D - 9mm | Cílios nagaraku Y - Volume brasileiro | Cílios nagaraku Y - Volume brasileiro - 10mm"
"","13","4D marrom fadvan mix 8-14 | 5D marrom fadvan mix 8-14 | Acelerador de secagem - Cherry lash  | boneca treino | Fita para levantar palpebra"
"Lash Designer >> Maria Sasha","12","Cílios 5D curvatura M - Maria Sasha | Cílios 5D curvatura M - Maria Sasha - 10mm | Cílios 5D curvatura M - Maria Sasha - 11mm | Cílios 5D curvatura M - Maria Sasha - 12mm | Cílios 5D curvatura M - Maria Sasha - 13mm"
"Lash Designer >> Cilios tufo","12","Cílios Tufo Nesura Eyelash 10D | Cílios Tufo Nesura Eyelash 10D - 10mm | Cílios Tufo Nesura Eyelash 10D - 12mm | Cílios tufo New show - 30P + 40P - mix | Cílios tufo New show 20p"
"Lash Designer >> Acesssórios e descartáveis","11","3 Esponja para treino | Anel para cola - formato coraçao | Anel para cola - formato coraçao - 10 | Anel para cola - formato coraçao - 100 | Anel para cola - formato coraçao - 50"
"NAIL DESIGNER","10","1 Pote Pump De Acetona 60ml Para Removedor De Esmalte | Algodão prensado | Alicate Cortador de Unhas em Gel Postiças e Tips Profissional | ASPIRADOR PÓ COLETOR DE UNHAS PROFISSIONAL NAIL DUST | Broca bastao fina Tungstenio"
"Acesssórios e descartáveis","10","Anel batoque sem divisora | Anel batoque sem divisora - 10 | Anel batoque sem divisora - 50 | Anel para cola - flor | Anel para cola - flor - 10"
"Lash Designer >> Decemars","10","Cílios 5d  Decemars - 5D w - 12mm | Cílios 5d  Decemars - 5D w - 13mm | Cílios 5d  Decemars - 5D w - 14mm | Cílios 5d  Decemars - 5D w - 8mm | Cílios 5d  Decemars - 5D w - 9mm"
"Lash Designer >> Pinças","10","Pinça curva dourada | Pinça curva para cílios | Pinça curva para extensão de cílios | Pinça dourada | Pinça formato golfinho dourada"
"Sobrancelha >> Rare Way","7","Fixador de Henna Rare Way 20ml | Henna Glance para Sobrancelhas Rare Way 3,5 | Henna Glance para Sobrancelhas Rare Way 3,5 - Castanho claro | Henna Glance para Sobrancelhas Rare Way 3,5 - Castanho escuro | Henna Glance para Sobrancelhas Rare Way 3,5 - Castanho médio"
"NAIL DESIGNER >> Vólia","5","Gel Base Clear – Sachê 12g | Gel Classic Clear – Sachê 14g | Gel Classic Cover – Sachê 14g | Gel Classic Nude – Sachê 14g - Vòlia | Gel Classic Pink – Sachê 14g"
"NAIL DESIGNER >> BLUWE","5","Adesivador Step 2 11ml - Bluwe | Base Estrutural Natural Pink 11ml - Bluwe | Capa Base Flex Natural Pink 11ml - Bluwe | Gel Construtor Natural Pink 30g - Bluwe | Gel Construtor Universal Nude 30g - Bluwe"
"NAIL DESIGNER >> ANYLOVY","5","Gel Construtor Blanco 24g - Anylovy | Gel Construtor Cover 24g - ANYLOVY | Gel Construtor Cover Nude 24g - Anylovy | Gel Construtor Nude 24g - Anylovy | Gel Cover Shine 24g"
"Pinças","3","Pinça curva golfinho | Pinça Curva SKY | Pinça para Volume - Bella moça"
"NAIL DESIGNER >> Real Love","3","Base De Esmalte Em Gel - Linha Light 8ml - Real Love | Gel de Alongamento para Unhas - Linha Light - 15ml - Real Love | Gel de Alongamento para Unhas - Linha Light - 15ml - Real Love - 1 Transparente"
"NAIL DESIGNER >> Cabines","2","Cabine Led/UV SUN 5 - 48w BRANCA | Cabine Led/UV SUN 5 - 48w ROSA"
"Lash Designer >> Cherry","2","Bruma Cherry - para extensão de cílios | Bruma Cherry Lash"
"Removedores","1","Bruma navina"
"Cherry","1","AQUA PRIMER CHERRY LASH"
"Sobrancelha","1","Pincel chanfrado duplo escova"
"Lash Designer >> Sobrancelha >> Pinças","1","Pinça para sobrancelha reta"
"Nagaraku","1","Pinça nagaraku N- 03"
