"tinyId","nome","categoriaTiny","departamentoProposto","categoriaProposta","confianca","decisao","motivo"
"738050720","1 Pote Pump De Acetona 60ml Para Removedor De Esmalte","NAIL DESIGNER","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738050739","3 Esponja para treino","Lash Designer >> Acesssórios e descartáveis","Lash Designer","Acessórios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738050756","4D marrom fadvan mix 8-14","(SEM CATEGORIA)","Lash Designer","Cílios","MEDIA","AUTO_APROVADO","Nome contém sinais fortes de produto para extensão de cílios."
"804739603","5D marrom fadvan mix 8-14","(SEM CATEGORIA)","Lash Designer","Cílios","MEDIA","AUTO_APROVADO","Nome contém sinais fortes de produto para extensão de cílios."
"744931523","Acelerador de secagem - Cherry lash ","(SEM CATEGORIA)","Lash Designer","Cílios","MEDIA","AUTO_APROVADO","Nome contém sinais fortes de produto para extensão de cílios."
"738050765","Adesivador Step 2 11ml - Bluwe","NAIL DESIGNER >> BLUWE","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738050794","Algodão prensado","NAIL DESIGNER","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738050839","Alicate Cortador de Unhas em Gel Postiças e Tips Profissional","NAIL DESIGNER","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"806076669","Anel batoque sem divisora","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"806076684","Anel batoque sem divisora - 10","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"806076689","Anel batoque sem divisora - 50","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"741047472","Anel para cola - flor","Acesssórios e descartáveis","Lash Designer","Colas e Adesivos","MEDIA","AUTO_APROVADO","Nome contém sinais fortes de adesivo/cola para lash."
"741047485","Anel para cola - flor - 10","Acesssórios e descartáveis","Lash Designer","Colas e Adesivos","MEDIA","AUTO_APROVADO","Nome contém sinais fortes de adesivo/cola para lash."
"741047495","Anel para cola - flor - 100","Acesssórios e descartáveis","Lash Designer","Colas e Adesivos","MEDIA","AUTO_APROVADO","Nome contém sinais fortes de adesivo/cola para lash."
"741047490","Anel para cola - flor - 50","Acesssórios e descartáveis","Lash Designer","Colas e Adesivos","MEDIA","AUTO_APROVADO","Nome contém sinais fortes de adesivo/cola para lash."
"741048848","Anel para cola - formato coraçao","Lash Designer >> Acesssórios e descartáveis","Lash Designer","Colas e Adesivos","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741048855","Anel para cola - formato coraçao - 10","Lash Designer >> Acesssórios e descartáveis","Lash Designer","Colas e Adesivos","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"805090592","Anel para cola - formato coraçao - 100","Lash Designer >> Acesssórios e descartáveis","Lash Designer","Colas e Adesivos","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741048860","Anel para cola - formato coraçao - 50","Lash Designer >> Acesssórios e descartáveis","Lash Designer","Colas e Adesivos","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738050894","AQUA PRIMER CHERRY LASH","Cherry","Lash Designer","Cílios","MEDIA","AUTO_APROVADO","Nome contém sinais fortes de produto para extensão de cílios."
