"tinyId","nome","categoriaTiny","departamentoProposto","categoriaProposta","confianca","decisao","motivo"
"806076669","Anel batoque sem divisora","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"806076684","Anel batoque sem divisora - 10","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"806076689","Anel batoque sem divisora - 50","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"801510681","boneca treino","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738052148","Copo Dappen transparente","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738052229","Espelho de mão","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"806076230","Espelho de mão - Dupla face zoom","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"804879004","Espelho de mão Borboleta","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738052269","Espelho de mão coração","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738052376","Espelho de precisão coraçao","Acesssórios","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738052516","Fita japonesa","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738052525","Fita japonesa fina para isolamento","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"806076128","Fita para levantar palpebra","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738052559","Fita Transpore","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738052814","Higrômetro digital","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738052853","Iluminador Led Tomate","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738052863","Kit 3 navalhas","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738052978","Kit navalha 3 unidades","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738053088","Lente macro","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738053143","Máscara descartável","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738053151","Máscara hidratante labial","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"770470790","Mini kit retenção Cherry ","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738053212","Mousse de limpeza power  Miriam motta 50ml","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738053243","Nano mister","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738053270","Pad 25 pares","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738053275","PAD 50 unidades- pares","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738053328","Pedra jade","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738053692","Pincel aplicador gloss 50un","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738053788","Plástico filme","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738053806","Pote hermético com Higrometro","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738054118","Ring light 18 polegadas 46cm","Ring Lght 18 Polegadas 46 Cm","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738054154","Ring Light 18 Polegadas 46cm Tomate Com Tripé","Ring Lght 18 Polegadas 46 Cm","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738054184","Ring Light 36 cm + Ring 20 cm de Brinde","Ring Light >> 14 polegadas","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738054217","Ring light 46 cm - 18 polegadas","Ring Light >> Ring Lght 18 Polegadas 46 Cm","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738054228","Ring Light 46cm Tomate + Bolsa","Ring Light >> Ring Lght 18 Polegadas 46 Cm","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738054281","Sílica 100g","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738054316","Tesoura modelo pássaro","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738054319","Tesoura pequena","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738054595","Ventilador de mão","Acesssórios e descartáveis","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
